packet_id,benchmark,criterion,provider,label,evidence_refs,evidence_note,confidence
B002,BIRD-CRITIC / SQL-eval,Evaluator implementation available,openai,partially-documented,"[{""source_id"":""E001"",""line_start"":7,""line_end"":12},{""source_id"":""E002"",""line_start"":16,""line_end"":27},{""source_id"":""E002"",""line_start"":30,""line_end"":45},{""source_id"":""E002"",""line_start"":177,""line_end"":191},{""source_id"":""E003"",""line_start"":48,""line_end"":67}]","Core helper functions for query execution and table normalization are implemented, and higher-level scripts call main.py for evaluation runs. However, the central evaluation loop and scoring logic (e.g., exact/subset match computation) are not shown in the provided files.",high
B002,BIRD-CRITIC / SQL-eval,Evaluator implementation available,anthropic,documented-and-verifiable,"[{""source_id"":""E002"",""line_start"":30,""line_end"":110}]",eval/eval.py contains concrete normalize_table and query execution functions implementing comparison logic.,high
B002,BIRD-CRITIC / SQL-eval,Evaluator implementation available,gemini,documented-and-verifiable,"[{""source_id"":""E002"",""line_start"":177,""line_end"":236},{""source_id"":""E002"",""line_start"":247,""line_end"":320}]","Database query execution functions are implemented in E002, including query_postgres_db and query_postgres_temp_db.",high
B002,BIRD-CRITIC / SQL-eval,Grading rules & tie-breaking,openai,partially-documented,"[{""source_id"":""E001"",""line_start"":7,""line_end"":12},{""source_id"":""E002"",""line_start"":30,""line_end"":52},{""source_id"":""E002"",""line_start"":55,""line_end"":105}]","README states evaluation compares dataframes via exact and subset match. normalize_table encodes grading rules about deduplication, column sorting, handling ORDER BY, and when row order matters. Still, handling of many edge cases and the subset-matching criteria are not documented.",high
B002,BIRD-CRITIC / SQL-eval,Grading rules & tie-breaking,anthropic,partially-documented,"[{""source_id"":""E002"",""line_start"":46,""line_end"":109}]","Ordering/sorting rules for comparison are shown in normalize_table, but no explicit tie-breaking or scoring aggregation rules across query categories are documented in packet.",medium
B002,BIRD-CRITIC / SQL-eval,Grading rules & tie-breaking,gemini,documented-and-verifiable,"[{""source_id"":""E002"",""line_start"":30,""line_end"":110}]","Grading rules are implemented via dataframe normalization, sorting alphabetically, conditionally sorting by rows, and comparing the resulting dataframes.",high
B002,BIRD-CRITIC / SQL-eval,Predictions->aggregate-score mapping,openai,not-documented,"[{""source_id"":""E001"",""line_start"":7,""line_end"":12},{""source_id"":""E003"",""line_start"":48,""line_end"":67}]","README notes that results are logged and “aggregate the results for reporting” but does not explain how per-query correctness is combined into overall scores (e.g., accuracy, weighting, per-category aggregation). No implementation of this aggregation is visible in the provided files.",high
B002,BIRD-CRITIC / SQL-eval,Predictions->aggregate-score mapping,anthropic,not-documented,"[{""source_id"":""E001"",""line_start"":118,""line_end"":124}]",README mentions logging metrics and aggregating results for reporting but no code or formula for aggregate score computation is shown in packet.,medium
B002,BIRD-CRITIC / SQL-eval,Predictions->aggregate-score mapping,gemini,not-documented,"[{""source_id"":""E001"",""line_start"":11,""line_end"":13}]","The README mentions logging metrics and aggregating results, but the actual aggregation code mapping predictions to overall scores is not included in the packet.",high
B002,BIRD-CRITIC / SQL-eval,Sample predictions / trajectories,openai,not-documented,"[{""source_id"":""E001"",""line_start"":130,""line_end"":141},{""source_id"":""E003"",""line_start"":48,""line_end"":67}]","Commands reference question CSVs and output CSV filenames, but no actual example prediction files, result rows, or model output traces are included in the packet.",high
B002,BIRD-CRITIC / SQL-eval,Sample predictions / trajectories,anthropic,not-documented,"[{""source_id"":""E001"",""line_start"":130,""line_end"":156}]",Commands reference output CSV files like results/openai_classic.csv but no actual sample predictions or trajectory content is included in the packet.,medium
B002,BIRD-CRITIC / SQL-eval,Sample predictions / trajectories,gemini,not-documented,"[{""source_id"":""E001"",""line_start"":132,""line_end"":136}]","No sample predictions, completed run output files, or gold query datasets are included in the provided packet.",high
B003,BLADE,Input/expected-output schema,openai,partially-documented,"[{""source_id"":""E001"",""line_start"":191,""line_end"":197},{""source_id"":""E004"",""line_start"":106,""line_end"":125},{""source_id"":""E004"",""line_start"":317,""line_end"":348}]",README specifies that submissions must follow example/submission_schema.json and outputs eval_results.json/eval_metrics.json; MetricsAcrossRuns structure for eval_metrics.json is shown. The actual JSON schema file and full EvalResults structure are not included.,high
B003,BLADE,Input/expected-output schema,anthropic,partially-documented,"[{""source_id"":""E001"",""line_start"":191,""line_end"":197}]","README references example/submission_schema.json and submission_analyses.json for input schema, but schema file content not shown in packet.",medium
B003,BLADE,Input/expected-output schema,gemini,claimed-but-not-verifiable,"[{""source_id"":""E001"",""line_start"":191,""line_end"":198}]","The README references an input schema file at `example/submission_schema.json` and a sample at `example/submission_analyses.json`, but these files are not included in the provided packet.",high
B003,BLADE,Metric definition,openai,partially-documented,"[{""source_id"":""E004"",""line_start"":28,""line_end"":104},{""source_id"":""E004"",""line_start"":152,""line_end"":178},{""source_id"":""E004"",""line_start"":243,""line_end"":279},{""source_id"":""E004"",""line_start"":318,""line_end"":348}]","Several metrics (hit rates, counts, averages) have explicit computed-field formulas and are exposed via get_metrics; however, coverage_* metrics and DiversityMetric details are not visible, and how matched_* lists are generated is not shown.",high
B003,BLADE,Metric definition,anthropic,partially-documented,"[{""source_id"":""E004"",""line_start"":28,""line_end"":103},{""source_id"":""E004"",""line_start"":318,""line_end"":348}]","Metrics like hit_rate, coverage, matched counts are defined via computed_field properties, but underlying matching logic that produces matched_* lists is not shown in this packet.",medium
B003,BLADE,Metric definition,gemini,documented-and-verifiable,"[{""source_id"":""E004"",""line_start"":28,""line_end"":104},{""source_id"":""E004"",""line_start"":318,""line_end"":348}]","Definitions for single-run and aggregate evaluation metrics, including hit rates and model coverage properties, are fully specified as properties in the Pydantic models in datamodel/run.py.",high
B003,BLADE,Evaluator implementation available,openai,partially-documented,"[{""source_id"":""E001"",""line_start"":127,""line_end"":157},{""source_id"":""E003"",""line_start"":50,""line_end"":100},{""source_id"":""E003"",""line_start"":221,""line_end"":300},{""source_id"":""E004"",""line_start"":106,""line_end"":125}]","Core components exist: run_get_eval.py (described), Convert class to process analyses, and MetricsAcrossRuns. But key pieces (metrics.all_metrics, matching logic, EvalResults, DatasetSubmission, LMAnalysis) are imported but not shown, so the full evaluator cannot be reconstructed from this packet alone.",high
B003,BLADE,Evaluator implementation available,anthropic,documented-and-verifiable,"[{""source_id"":""E003"",""line_start"":50,""line_end"":301},{""source_id"":""E004"",""line_start"":1,""line_end"":355}]",Convert class and MetricsAcrossRuns/SingleRunMetrics classes provide concrete evaluator implementation code shown in packet.,high
B003,BLADE,Evaluator implementation available,gemini,partially-documented,"[{""source_id"":""E003"",""line_start"":50,""line_end"":131},{""source_id"":""E004"",""line_start"":106,""line_end"":126}]","Data conversion classes and Pydantic schemas for run metrics are provided, but the core evaluation orchestrator script (`run_get_eval.py`) and the metric calculation modules (like `AllMetrics`) are missing.",high
B003,BLADE,Grading rules & tie-breaking,openai,not-documented,"[{""source_id"":""E001"",""line_start"":127,""line_end"":157},{""source_id"":""E004"",""line_start"":318,""line_end"":348}]","README and run metrics code describe running evaluation and listing metrics, but there is no description of how an overall score is chosen, how multiple runs are aggregated beyond simple statistics, or any explicit tie-breaking or ranking rules.",high
B003,BLADE,Grading rules & tie-breaking,anthropic,not-documented,"[{""source_id"":""E004"",""line_start"":1,""line_end"":355}]",No explicit tie-breaking or grading threshold rules are shown; matching logic that determines matched_* lists is not present in the packet.,medium
B003,BLADE,Grading rules & tie-breaking,gemini,not-documented,"[{""source_id"":""E001"",""line_start"":127,""line_end"":164}]","No grading rules, ranking rubrics, or tie-breaking policies are documented or implemented in the provided code files.",medium
B003,BLADE,Predictions->aggregate-score mapping,openai,partially-documented,"[{""source_id"":""E003"",""line_start"":101,""line_end"":131},{""source_id"":""E004"",""line_start"":243,""line_end"":279},{""source_id"":""E004"",""line_start"":318,""line_end"":348}]","Convert.convert_entire_analysis shows how a single analysis is transformed; MetricsAcrossRuns aggregates matched_* lists into summary metrics via get_metrics. However, the upstream matching from predictions to matched_* lists and coverage_* calculations are not provided, so the full mapping from predictions to final scores is incomplete.",high
B003,BLADE,Predictions->aggregate-score mapping,anthropic,partially-documented,"[{""source_id"":""E004"",""line_start"":106,""line_end"":348}]","MetricsAcrossRuns aggregates per-run metrics into coverage/hit-rate/average metrics via defined properties, showing aggregation logic, though full pipeline connecting predictions to these fields is only partially shown.",medium
B003,BLADE,Predictions->aggregate-score mapping,gemini,partially-documented,"[{""source_id"":""E004"",""line_start"":318,""line_end"":348}]","The code defines how single-run metrics map to multi-run summaries in `get_metrics()`, but there is no overall single scalar benchmark score formula mapping predictions to a unified ranking score.",high
B003,BLADE,Sample predictions / trajectories,openai,claimed-but-not-verifiable,"[{""source_id"":""E001"",""line_start"":123,""line_end"":126},{""source_id"":""E001"",""line_start"":191,""line_end"":197}]","README references example/multirun_analyses.json and example/submission_analyses.json as examples of system outputs and valid submissions, but the actual contents of these JSON files are not included in the packet, so they cannot be inspected.",high
B003,BLADE,Sample predictions / trajectories,anthropic,claimed-but-not-verifiable,"[{""source_id"":""E001"",""line_start"":123,""line_end"":126}]",README references example/multirun_analyses.json as sample output but the file itself is not included in the packet.,medium
B003,BLADE,Sample predictions / trajectories,gemini,claimed-but-not-verifiable,"[{""source_id"":""E001"",""line_start"":123,""line_end"":126}]","The README points to example outputs under `./examples/multirun_analyses.json`, but the referenced examples are not contained within the provided artifacts.",high
B004,BigCodeBench,Input/expected-output schema,openai,partially-documented,"[{""source_id"":""E001"",""line_start"":133,""line_end"":137},{""source_id"":""E001"",""line_start"":196,""line_end"":199},{""source_id"":""E002"",""line_start"":148,""line_end"":155},{""source_id"":""E002"",""line_start"":292,""line_end"":305},{""source_id"":""E003"",""line_start"":37,""line_end"":45}]","README and code show samples as .jsonl with fields like task_id, solution/completion, _identifier and describe output file names, but no complete, formal schema for all fields or evaluation JSON structure is provided.",high
B004,BigCodeBench,Input/expected-output schema,anthropic,partially-documented,"[{""source_id"":""E002"",""line_start"":42,""line_end"":73},{""source_id"":""E002"",""line_start"":300,""line_end"":318}]","Task schema fields like complete_prompt, canonical_solution, test, entry_point, code_prompt are used in code, but no formal schema doc is shown.",medium
B004,BigCodeBench,Input/expected-output schema,gemini,partially-documented,"[{""source_id"":""E002"",""line_start"":293,""line_end"":307}]","Expected input fields like 'task_id', 'solution', 'complete_prompt', 'completion', and 'code_prompt' are loaded from samples and problems, but a detailed schema definition for the benchmark datasets is not fully shown.",high
B004,BigCodeBench,Metric definition,openai,claimed-but-not-verifiable,"[{""source_id"":""E001"",""line_start"":133,""line_end"":137},{""source_id"":""E002"",""line_start"":29,""line_end"":34},{""source_id"":""E002"",""line_start"":214,""line_end"":223},{""source_id"":""E002"",""line_start"":257,""line_end"":258}]","The code imports estimate_pass_at_k and references pass@k and gt_pass_rate, but the implementation or formal definition of these metrics is in bigcodebench.eval, which is not included in the packet.",high
B004,BigCodeBench,Metric definition,anthropic,documented-and-verifiable,"[{""source_id"":""E002"",""line_start"":29,""line_end"":34},{""source_id"":""E002"",""line_start"":257,""line_end"":258}]",pass@k via estimate_pass_at_k imported and used; gt_pass_rate computation shown explicitly in code.,medium
B004,BigCodeBench,Metric definition,gemini,documented-and-verifiable,"[{""source_id"":""E002"",""line_start"":216,""line_end"":223},{""source_id"":""E002"",""line_start"":30,""line_end"":34}]","The evaluation metric uses pass@k, with imports of 'estimate_pass_at_k' and processing logic to parse target 'k' parameters.",high
B004,BigCodeBench,Evaluator implementation available,openai,partially-documented,"[{""source_id"":""E001"",""line_start"":112,""line_end"":137},{""source_id"":""E002"",""line_start"":87,""line_end"":115},{""source_id"":""E002"",""line_start"":117,""line_end"":205},{""source_id"":""E002"",""line_start"":242,""line_end"":266},{""source_id"":""E002"",""line_start"":285,""line_end"":323}]","Core evaluation logic, including local, gradio, and e2b execution, ground-truth caching, and sample processing is implemented. However, crucial pieces (untrusted_check, estimate_pass_at_k, PASS, compatible_eval_result) live in bigcodebench.eval, which is not present.",high
B004,BigCodeBench,Evaluator implementation available,anthropic,documented-and-verifiable,"[{""source_id"":""E002"",""line_start"":87,""line_end"":330},{""source_id"":""E003"",""line_start"":1,""line_end"":112}]","Full evaluation pipeline (check_correctness, untrusted_check, trusted_check, syntax_check) is present in repo code.",high
B004,BigCodeBench,Evaluator implementation available,gemini,documented-and-verifiable,"[{""source_id"":""E002"",""line_start"":117,""line_end"":140}]","The evaluate.py module fully implements the execution orchestration over gradio, e2b, or local environments.",high
B004,BigCodeBench,Grading rules & tie-breaking,openai,claimed-but-not-verifiable,"[{""source_id"":""E002"",""line_start"":29,""line_end"":34},{""source_id"":""E002"",""line_start"":285,""line_end"":323}]","Evaluation aggregates per-sample results and uses estimate_pass_at_k and PASS from bigcodebench.eval, but the exact grading rules (e.g., how multiple samples per task, errors, or ties are handled) are encapsulated in missing code.",high
B004,BigCodeBench,Grading rules & tie-breaking,anthropic,partially-documented,"[{""source_id"":""E002"",""line_start"":94,""line_end"":114},{""source_id"":""E002"",""line_start"":126,""line_end"":136}]",Pass/fail determined via untrusted_check with limits/time_limit; no explicit tie-breaking rules for equal scores documented.,low
B004,BigCodeBench,Grading rules & tie-breaking,gemini,partially-documented,"[{""source_id"":""E002"",""line_start"":87,""line_end"":114}]","grading relies on verifying code correctness via untrusted_check against expected outputs, but the specific assertion logic is abstracted.",medium
B004,BigCodeBench,Predictions->aggregate-score mapping,openai,claimed-but-not-verifiable,"[{""source_id"":""E002"",""line_start"":285,""line_end"":323},{""source_id"":""E002"",""line_start"":214,""line_end"":223},{""source_id"":""E002"",""line_start"":257,""line_end"":258}]","We see how individual solutions are checked and collected, but the final computation of pass@k and overall scores is delegated to estimate_pass_at_k in bigcodebench.eval, whose implementation is not shown.",high
B004,BigCodeBench,Predictions->aggregate-score mapping,anthropic,documented-and-verifiable,"[{""source_id"":""E002"",""line_start"":133,""line_end"":136}]","README states pass@k results file naming and generation, and evaluate.py computes pass_at_k dict from completion results.",medium
B004,BigCodeBench,Predictions->aggregate-score mapping,gemini,partially-documented,"[{""source_id"":""E002"",""line_start"":257,""line_end"":259}]","Calculates ground-truth pass rate and maps results, but the mapping from predictions to final pass@k scores relies on external modules like estimate_pass_at_k.",medium
B004,BigCodeBench,Sample predictions / trajectories,openai,claimed-but-not-verifiable,"[{""source_id"":""E001"",""line_start"":187,""line_end"":191},{""source_id"":""E003"",""line_start"":37,""line_end"":45}]","README states pre-generated LLM code samples are available in a release archive, and syncheck.py describes how to load such samples, but the actual sample files are not included in this packet.",high
B004,BigCodeBench,Sample predictions / trajectories,anthropic,claimed-but-not-verifiable,"[{""source_id"":""E001"",""line_start"":187,""line_end"":190}]","README claims pre-generated LLM code samples are shared via release attachment, but artifact not included in packet for verification.",low
B004,BigCodeBench,Sample predictions / trajectories,gemini,claimed-but-not-verifiable,"[{""source_id"":""E001"",""line_start"":187,""line_end"":191}]","The README claims that pre-generated LLM code samples are shared in release tag v0.2.4 (sanitized_samples_calibrated.zip), but the actual files are not included in the packet.",high
B005,BixBench,Input/expected-output schema,openai,partially-documented,"[{""source_id"":""E001"",""line_start"":121,""line_end"":133},{""source_id"":""E001"",""line_start"":148,""line_end"":164},{""source_id"":""E001"",""line_start"":166,""line_end"":174},{""source_id"":""E002"",""line_start"":80,""line_end"":88},{""source_id"":""E002"",""line_start"":280,""line_end"":287}]","Repository explains that trajectories are JSONs with final answers and notebooks, and that grading consumes question/target/predicted strings with an answer_mode, but no full formal schema for trajectory JSON, CSV columns, or JSON result structure is provided.",high
B005,BixBench,Input/expected-output schema,anthropic,partially-documented,"[{""source_id"":""E001"",""line_start"":21,""line_end"":22},{""source_id"":""E002"",""line_start"":283,""line_end"":316}]","README describes MCQ/open-ended tasks and dataset size; graders.py shows target/predicted/question fields, but full schema of dataset fields not shown.",medium
B005,BixBench,Input/expected-output schema,gemini,partially-documented,"[{""source_id"":""E002"",""line_start"":289,""line_end"":300}]","The input structures for grading are partially defined in python parameters (target, predicted, question, unsure), but the formal JSON/HF dataset schema structure is not explicitly documented in the provided packet.",high
B005,BixBench,Metric definition,openai,partially-documented,"[{""source_id"":""E002"",""line_start"":14,""line_end"":27},{""source_id"":""E002"",""line_start"":40,""line_end"":53},{""source_id"":""E002"",""line_start"":76,""line_end"":88},{""source_id"":""E002"",""line_start"":155,""line_end"":170},{""source_id"":""E001"",""line_start"":159,""line_end"":163},{""source_id"":""E001"",""line_start"":240,""line_end"":247}]","Code defines per-question grades as binary (correct=1, incorrect/refused=0) with flags, and README mentions majority vote accuracy, but it does not spell out the exact dataset-level metric formulas or how accuracy is computed from these grades.",high
B005,BixBench,Metric definition,anthropic,documented-and-verifiable,"[{""source_id"":""E002"",""line_start"":14,""line_end"":52}]",GradeType and GradeResult define correct/incorrect/refused and numeric grade computation explicitly in code.,high
B005,BixBench,Metric definition,gemini,documented-and-verifiable,"[{""source_id"":""E002"",""line_start"":14,""line_end"":37}]","The metrics are defined under GradeType and GradeResult which output correct, incorrect, or refusal states, map correct to 1 and incorrect/refused to 0.",high
B005,BixBench,Evaluator implementation available,openai,documented-and-verifiable,"[{""source_id"":""E002"",""line_start"":55,""line_end"":108},{""source_id"":""E002"",""line_start"":110,""line_end"":131},{""source_id"":""E002"",""line_start"":173,""line_end"":207},{""source_id"":""E002"",""line_start"":209,""line_end"":277},{""source_id"":""E001"",""line_start"":166,""line_end"":174},{""source_id"":""E001"",""line_start"":186,""line_end"":192}]","The grading logic for MCQ and open-ended questions is implemented in graders.py with clear functions and types, and README shows scripts that call these graders for zero-shot grading.",high
B005,BixBench,Evaluator implementation available,anthropic,documented-and-verifiable,"[{""source_id"":""E002"",""line_start"":1,""line_end"":329}]","Full grading implementation (graders.py) provided with MCQ and open-ended grading logic, including LLM verifier calls.",high
B005,BixBench,Evaluator implementation available,gemini,documented-and-verifiable,"[{""source_id"":""E002"",""line_start"":55,""line_end"":329}]","A complete implementation of both MCQ and open-ended evaluators (using string verification, range verification, and LLM-based verification) is fully provided.",high
B005,BixBench,Grading rules & tie-breaking,openai,partially-documented,"[{""source_id"":""E002"",""line_start"":76,""line_end"":88},{""source_id"":""E002"",""line_start"":155,""line_end"":170},{""source_id"":""E002"",""line_start"":183,""line_end"":205},{""source_id"":""E001"",""line_start"":159,""line_end"":163},{""source_id"":""E001"",""line_start"":215,""line_end"":221}]","Per-question grading rules (string normalization, refusal handling, numeric ranges, LLM-verifier) are explicit in code. Majority-vote analysis and any tie-breaking or aggregation logic are only mentioned at a high level in the README without implementation details.",high
B005,BixBench,Grading rules & tie-breaking,anthropic,partially-documented,"[{""source_id"":""E002"",""line_start"":58,""line_end"":108},{""source_id"":""E001"",""line_start"":160,""line_end"":161}]",Exact/partial/LLM match rules shown in code; majority vote for MCQ mentioned in README but tie-breaking logic for majority vote not detailed.,medium
B005,BixBench,Grading rules & tie-breaking,gemini,documented-and-verifiable,"[{""source_id"":""E002"",""line_start"":75,""line_end"":108}]","Exact match, partial string match fallback, and LLM grading rules are explicitly coded in the string verifier implementation.",high
B005,BixBench,Predictions->aggregate-score mapping,openai,not-documented,"[{""source_id"":""E001"",""line_start"":159,""line_end"":163},{""source_id"":""E001"",""line_start"":215,""line_end"":221},{""source_id"":""E002"",""line_start"":40,""line_end"":53},{""source_id"":""E002"",""line_start"":280,""line_end"":287}]","The repository shows how to obtain per-question grades but does not document or implement in the shown files how these are combined into benchmark-level scores (e.g., exact averaging, handling of refusals, or weighting).",high
B005,BixBench,Predictions->aggregate-score mapping,anthropic,partially-documented,"[{""source_id"":""E001"",""line_start"":156,""line_end"":165},{""source_id"":""E001"",""line_start"":215,""line_end"":221}]","README describes postprocessing script generating eval dataframe, majority vote analysis, and CSV/plots, but exact aggregation formulas not shown.",medium
B005,BixBench,Predictions->aggregate-score mapping,gemini,partially-documented,"[{""source_id"":""E001"",""line_start"":156,""line_end"":164}]","README mentions majority vote analysis and postprocessing steps to create evaluation dataframes and compare performance, but the exact code mapping prediction arrays to final aggregates is missing from the packet.",high
B005,BixBench,Sample predictions / trajectories,openai,documented-and-verifiable,"[{""source_id"":""E001"",""line_start"":223,""line_end"":236},{""source_id"":""E001"",""line_start"":125,""line_end"":133},{""source_id"":""E001"",""line_start"":140,""line_end"":146}]","README provides direct URLs to download raw trajectory data and an evaluation dataframe CSV, and explains that generated trajectories are stored as JSON files in a specified directory, supplying concrete example artifacts.",high
B005,BixBench,Sample predictions / trajectories,anthropic,claimed-but-not-verifiable,"[{""source_id"":""E001"",""line_start"":223,""line_end"":230}]","README references downloadable raw trajectory data and eval_df CSV via wget URLs, but these external artifacts are not included/verifiable in packet.",medium
B005,BixBench,Sample predictions / trajectories,gemini,claimed-but-not-verifiable,"[{""source_id"":""E001"",""line_start"":225,""line_end"":230}]","The packet references external URLs to download raw trajectory data, but actual samples are not contained within the provided file packet.",high
B006,DA-Code,Input/expected-output schema,openai,partially-documented,"[{""source_id"":""E001"",""line_start"":52,""line_end"":69},{""source_id"":""E002"",""line_start"":56,""line_end"":84},{""source_id"":""E002"",""line_start"":141,""line_end"":180},{""source_id"":""E003"",""line_start"":18,""line_end"":26}]","Evaluator expects per-task JSON/JSONL configs with id, result, func, options and per-task output dirs containing dabench/result.json and gold files. The exact env_config/eval_json schema and structure of result.json are implied by code, not fully documented in prose.",high
B006,DA-Code,Input/expected-output schema,anthropic,partially-documented,"[{""source_id"":""E002"",""line_start"":46,""line_end"":74},{""source_id"":""E001"",""line_start"":52,""line_end"":70}]","Evaluator code shows eval_config fields (id, result, func, options, conj) and CLI args for gold_dir/output_dir, but full schema spec for task configs is not shown in packet.",medium
