packet_id,benchmark,criterion,openai,anthropic,gemini,aggregated_label,aggregation_rule
B005,BixBench,Metric definition,partially-documented,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B005,BixBench,Evaluator implementation available,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B005,BixBench,Grading rules & tie-breaking,partially-documented,partially-documented,documented-and-verifiable,partially-documented,exact-majority
B005,BixBench,Predictions->aggregate-score mapping,not-documented,partially-documented,partially-documented,partially-documented,exact-majority
B005,BixBench,Sample predictions / trajectories,documented-and-verifiable,claimed-but-not-verifiable,claimed-but-not-verifiable,claimed-but-not-verifiable,exact-majority
B006,DA-Code,Input/expected-output schema,partially-documented,partially-documented,partially-documented,partially-documented,exact-majority
B006,DA-Code,Metric definition,documented-and-verifiable,documented-and-verifiable,partially-documented,documented-and-verifiable,exact-majority
B006,DA-Code,Evaluator implementation available,documented-and-verifiable,documented-and-verifiable,partially-documented,documented-and-verifiable,exact-majority
B006,DA-Code,Grading rules & tie-breaking,partially-documented,partially-documented,partially-documented,partially-documented,exact-majority
B006,DA-Code,Predictions->aggregate-score mapping,partially-documented,partially-documented,partially-documented,partially-documented,exact-majority
B006,DA-Code,Sample predictions / trajectories,not-documented,partially-documented,not-documented,not-documented,exact-majority
B007,DS-1000,Input/expected-output schema,partially-documented,documented-and-verifiable,partially-documented,partially-documented,exact-majority
B007,DS-1000,Metric definition,partially-documented,partially-documented,documented-and-verifiable,partially-documented,exact-majority
B007,DS-1000,Evaluator implementation available,partially-documented,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B007,DS-1000,Grading rules & tie-breaking,not-documented,partially-documented,not-applicable,partially-documented,conservative-three-way-tie
B007,DS-1000,Predictions->aggregate-score mapping,partially-documented,documented-and-verifiable,not-documented,partially-documented,conservative-three-way-tie
B007,DS-1000,Sample predictions / trajectories,claimed-but-not-verifiable,documented-and-verifiable,not-documented,not-documented,conservative-three-way-tie
B008,DSBench,Input/expected-output schema,partially-documented,partially-documented,documented-and-verifiable,partially-documented,exact-majority
B008,DSBench,Metric definition,partially-documented,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B008,DSBench,Evaluator implementation available,partially-documented,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B008,DSBench,Grading rules & tie-breaking,not-documented,not-documented,not-applicable,not-documented,exact-majority
B008,DSBench,Predictions->aggregate-score mapping,not-documented,not-documented,not-documented,not-documented,exact-majority
B008,DSBench,Sample predictions / trajectories,not-documented,not-documented,not-documented,not-documented,exact-majority
B009,DataSciBench,Input/expected-output schema,partially-documented,partially-documented,documented-and-verifiable,partially-documented,exact-majority
B009,DataSciBench,Metric definition,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B009,DataSciBench,Evaluator implementation available,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B009,DataSciBench,Grading rules & tie-breaking,not-documented,not-documented,not-applicable,not-documented,exact-majority
B009,DataSciBench,Predictions->aggregate-score mapping,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B009,DataSciBench,Sample predictions / trajectories,not-documented,not-documented,partially-documented,not-documented,exact-majority
B010,DiscoveryBench,Input/expected-output schema,partially-documented,partially-documented,documented-and-verifiable,partially-documented,exact-majority
B010,DiscoveryBench,Metric definition,not-documented,claimed-but-not-verifiable,not-documented,not-documented,exact-majority
B010,DiscoveryBench,Evaluator implementation available,claimed-but-not-verifiable,partially-documented,partially-documented,partially-documented,exact-majority
B010,DiscoveryBench,Grading rules & tie-breaking,not-documented,not-documented,not-documented,not-documented,exact-majority
B010,DiscoveryBench,Predictions->aggregate-score mapping,not-documented,not-documented,not-documented,not-documented,exact-majority
B010,DiscoveryBench,Sample predictions / trajectories,not-documented,not-documented,not-documented,not-documented,exact-majority
B011,Dr.Spider,Input/expected-output schema,partially-documented,partially-documented,partially-documented,partially-documented,exact-majority
B011,Dr.Spider,Metric definition,partially-documented,partially-documented,claimed-but-not-verifiable,partially-documented,exact-majority
B011,Dr.Spider,Evaluator implementation available,claimed-but-not-verifiable,claimed-but-not-verifiable,not-documented,claimed-but-not-verifiable,exact-majority
B011,Dr.Spider,Grading rules & tie-breaking,not-documented,not-documented,not-documented,not-documented,exact-majority
B011,Dr.Spider,Predictions->aggregate-score mapping,partially-documented,partially-documented,not-documented,partially-documented,exact-majority
B011,Dr.Spider,Sample predictions / trajectories,not-documented,not-documented,not-documented,not-documented,exact-majority
B012,InfiAgent-DABench,Input/expected-output schema,documented-and-verifiable,partially-documented,documented-and-verifiable,documented-and-verifiable,exact-majority
B012,InfiAgent-DABench,Metric definition,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B012,InfiAgent-DABench,Evaluator implementation available,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B012,InfiAgent-DABench,Grading rules & tie-breaking,documented-and-verifiable,partially-documented,documented-and-verifiable,documented-and-verifiable,exact-majority
B012,InfiAgent-DABench,Predictions->aggregate-score mapping,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B012,InfiAgent-DABench,Sample predictions / trajectories,not-documented,not-documented,not-documented,not-documented,exact-majority
B013,MLAgentBench,Input/expected-output schema,partially-documented,partially-documented,documented-and-verifiable,partially-documented,exact-majority
B013,MLAgentBench,Metric definition,partially-documented,partially-documented,documented-and-verifiable,partially-documented,exact-majority
B013,MLAgentBench,Evaluator implementation available,partially-documented,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B013,MLAgentBench,Grading rules & tie-breaking,partially-documented,not-documented,not-applicable,partially-documented,conservative-three-way-tie
B013,MLAgentBench,Predictions->aggregate-score mapping,partially-documented,partially-documented,documented-and-verifiable,partially-documented,exact-majority
B013,MLAgentBench,Sample predictions / trajectories,claimed-but-not-verifiable,claimed-but-not-verifiable,documented-and-verifiable,claimed-but-not-verifiable,exact-majority
B014,MLE-bench,Input/expected-output schema,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B014,MLE-bench,Metric definition,partially-documented,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B014,MLE-bench,Evaluator implementation available,partially-documented,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B014,MLE-bench,Grading rules & tie-breaking,partially-documented,partially-documented,not-applicable,partially-documented,exact-majority
B014,MLE-bench,Predictions->aggregate-score mapping,partially-documented,partially-documented,documented-and-verifiable,partially-documented,exact-majority
B014,MLE-bench,Sample predictions / trajectories,not-documented,claimed-but-not-verifiable,not-documented,not-documented,exact-majority
B015,MLGym,Input/expected-output schema,partially-documented,partially-documented,partially-documented,partially-documented,exact-majority
B015,MLGym,Metric definition,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B015,MLGym,Evaluator implementation available,partially-documented,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B015,MLGym,Grading rules & tie-breaking,not-documented,not-documented,partially-documented,not-documented,exact-majority
B015,MLGym,Predictions->aggregate-score mapping,partially-documented,not-documented,partially-documented,partially-documented,exact-majority
B015,MLGym,Sample predictions / trajectories,not-documented,claimed-but-not-verifiable,not-documented,not-documented,exact-majority
B016,PandasEval/NumpyEval (CERT),Input/expected-output schema,documented-and-verifiable,partially-documented,partially-documented,partially-documented,exact-majority
B016,PandasEval/NumpyEval (CERT),Metric definition,partially-documented,documented-and-verifiable,claimed-but-not-verifiable,partially-documented,conservative-three-way-tie
B016,PandasEval/NumpyEval (CERT),Evaluator implementation available,claimed-but-not-verifiable,partially-documented,not-documented,not-documented,conservative-three-way-tie
B016,PandasEval/NumpyEval (CERT),Grading rules & tie-breaking,not-documented,not-documented,not-documented,not-documented,exact-majority
B016,PandasEval/NumpyEval (CERT),Predictions->aggregate-score mapping,not-documented,partially-documented,not-documented,not-documented,exact-majority
B016,PandasEval/NumpyEval (CERT),Sample predictions / trajectories,not-documented,not-documented,not-documented,not-documented,exact-majority
B017,QRData,Input/expected-output schema,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B017,QRData,Metric definition,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B017,QRData,Evaluator implementation available,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B017,QRData,Grading rules & tie-breaking,not-documented,partially-documented,documented-and-verifiable,partially-documented,conservative-three-way-tie
B017,QRData,Predictions->aggregate-score mapping,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B017,QRData,Sample predictions / trajectories,not-documented,not-documented,not-documented,not-documented,exact-majority
B018,RE-Bench,Input/expected-output schema,documented-and-verifiable,partially-documented,documented-and-verifiable,documented-and-verifiable,exact-majority
B018,RE-Bench,Metric definition,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B018,RE-Bench,Evaluator implementation available,partially-documented,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B018,RE-Bench,Grading rules & tie-breaking,partially-documented,partially-documented,partially-documented,partially-documented,exact-majority
B018,RE-Bench,Predictions->aggregate-score mapping,documented-and-verifiable,not-documented,not-documented,not-documented,exact-majority
B018,RE-Bench,Sample predictions / trajectories,not-documented,not-documented,not-documented,not-documented,exact-majority
B019,ScienceAgentBench,Input/expected-output schema,documented-and-verifiable,partially-documented,partially-documented,partially-documented,exact-majority
B019,ScienceAgentBench,Metric definition,partially-documented,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B019,ScienceAgentBench,Evaluator implementation available,partially-documented,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B019,ScienceAgentBench,Grading rules & tie-breaking,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B019,ScienceAgentBench,Predictions->aggregate-score mapping,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B019,ScienceAgentBench,Sample predictions / trajectories,not-documented,not-documented,not-documented,not-documented,exact-majority
B020,Spider,Input/expected-output schema,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B020,Spider,Metric definition,partially-documented,partially-documented,partially-documented,partially-documented,exact-majority
B020,Spider,Evaluator implementation available,claimed-but-not-verifiable,claimed-but-not-verifiable,claimed-but-not-verifiable,claimed-but-not-verifiable,exact-majority
B020,Spider,Grading rules & tie-breaking,not-documented,not-documented,not-documented,not-documented,exact-majority
B020,Spider,Predictions->aggregate-score mapping,partially-documented,partially-documented,not-documented,partially-documented,exact-majority
B020,Spider,Sample predictions / trajectories,not-documented,not-documented,not-applicable,not-documented,exact-majority
B021,Spider 2.0,Input/expected-output schema,partially-documented,partially-documented,partially-documented,partially-documented,exact-majority
B021,Spider 2.0,Metric definition,documented-and-verifiable,partially-documented,documented-and-verifiable,documented-and-verifiable,exact-majority
B021,Spider 2.0,Evaluator implementation available,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B021,Spider 2.0,Grading rules & tie-breaking,documented-and-verifiable,partially-documented,documented-and-verifiable,documented-and-verifiable,exact-majority
B021,Spider 2.0,Predictions->aggregate-score mapping,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B021,Spider 2.0,Sample predictions / trajectories,not-documented,not-documented,not-documented,not-documented,exact-majority
B022,Spider2-V,Input/expected-output schema,partially-documented,partially-documented,partially-documented,partially-documented,exact-majority
B022,Spider2-V,Metric definition,partially-documented,not-documented,partially-documented,partially-documented,exact-majority
B022,Spider2-V,Evaluator implementation available,partially-documented,partially-documented,partially-documented,partially-documented,exact-majority
B022,Spider2-V,Grading rules & tie-breaking,not-documented,not-documented,not-documented,not-documented,exact-majority
B022,Spider2-V,Predictions->aggregate-score mapping,not-documented,claimed-but-not-verifiable,not-documented,not-documented,exact-majority
B022,Spider2-V,Sample predictions / trajectories,not-documented,claimed-but-not-verifiable,not-documented,not-documented,exact-majority
B023,SpreadsheetBench,Input/expected-output schema,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B023,SpreadsheetBench,Metric definition,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B023,SpreadsheetBench,Evaluator implementation available,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B023,SpreadsheetBench,Grading rules & tie-breaking,documented-and-verifiable,partially-documented,not-applicable,partially-documented,conservative-three-way-tie
B023,SpreadsheetBench,Predictions->aggregate-score mapping,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B023,SpreadsheetBench,Sample predictions / trajectories,not-documented,claimed-but-not-verifiable,not-documented,not-documented,exact-majority
B024,TabFact,Input/expected-output schema,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B024,TabFact,Metric definition,documented-and-verifiable,partially-documented,documented-and-verifiable,documented-and-verifiable,exact-majority
B024,TabFact,Evaluator implementation available,partially-documented,partially-documented,documented-and-verifiable,partially-documented,exact-majority
B024,TabFact,Grading rules & tie-breaking,not-documented,not-documented,not-applicable,not-documented,exact-majority
B024,TabFact,Predictions->aggregate-score mapping,documented-and-verifiable,partially-documented,documented-and-verifiable,documented-and-verifiable,exact-majority
B024,TabFact,Sample predictions / trajectories,not-documented,not-documented,not-documented,not-documented,exact-majority
B025,TableBench,Input/expected-output schema,partially-documented,partially-documented,partially-documented,partially-documented,exact-majority
B025,TableBench,Metric definition,partially-documented,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B025,TableBench,Evaluator implementation available,partially-documented,partially-documented,partially-documented,partially-documented,exact-majority
B025,TableBench,Grading rules & tie-breaking,partially-documented,not-documented,not-applicable,partially-documented,conservative-three-way-tie
B025,TableBench,Predictions->aggregate-score mapping,partially-documented,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B025,TableBench,Sample predictions / trajectories,claimed-but-not-verifiable,documented-and-verifiable,partially-documented,partially-documented,conservative-three-way-tie
B026,WikiTableQuestions,Input/expected-output schema,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B026,WikiTableQuestions,Metric definition,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B026,WikiTableQuestions,Evaluator implementation available,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B026,WikiTableQuestions,Grading rules & tie-breaking,partially-documented,documented-and-verifiable,documented-and-verifiable,documented-and-verifiable,exact-majority
B026,WikiTableQuestions,Predictions->aggregate-score mapping,partially-documented,partially-documented,partially-documented,partially-documented,exact-majority
B026,WikiTableQuestions,Sample predictions / trajectories,not-documented,not-documented,not-documented,not-documented,exact-majority
