benchmark,category,commit,R2,n_ok_of_5,attempted_execution,first_pass_label,first_pass_runtime_s,repair_label,repair_runtime_s,E3_first_pass,E3_after_repair,E3_smoke_testable,prediction_source,first_pass_detail,repair_detail,notes
DSBench,ml-eng,ba786096137a5108af11c016ad3f09cdb97beefd,0,4,True,pass-as-documented,1.58,,,True,False,True,"schema-valid synthetic answer.csv + predict.csv (Rings target, 20 rows)",Per-task RMSLE scorer data_modeling/evaluation/playground-series-s4e4_eval.py ran on synthetic answer/predict CSVs (sklearn mean_squared_log_error),,RMSLE 0.685; scorer is pure sklearn; official answer CSVs are external download but scorer path is self-contained
MLAgentBench,ml-eng,5d71205cc20a8e95d43aa7cb7120e89ca3323e31,1,5,True,credential-or-service-blocked,,,,False,False,False,n/a,MLAgentBench/eval.py imports `anthropic` (LLM-based evaluation),,LLM-based evaluator; excluded by 0 paid API / no FM inference
MLE-bench,ml-eng,507f92e1138bb6e40dac5c6ee7a6758e6424bf97,1,5,True,dependency-or-environment-failure,,,,False,False,False,n/a,"mlebench.utils imports py7zr (missing); grade_csv requires is_dataset_prepared (Kaggle download); per-competition graders are pure grade(sub,ans)->float but not reachable without full heavy pkg (docker/tensorflow/kaggle)",,all integration tests call download_and_prepare_dataset (Kaggle-gated); no self-contained metrics unit test
MLGym,ml-eng,9d40c1b5035202018cd7091fb4e83a9c68b377c0,0,4,True,dependency-or-environment-failure,,,,False,False,False,n/a,Per-task evaluate.py (e.g. bertMNLI) loads bert-base-uncased + multi_nli via torch/transformers; requires model weights and training-scale compute,,per-task evaluators load large models/datasets; effectively model inference / GPU-scale
RE-Bench,ml-eng,93b98062e55f6945d4a7e213a3226dd419896170,1,5,True,dependency-or-environment-failure,,,,False,False,False,n/a,"Per-task assets/score.py are asyncio task-runners tied to training environments (nanogpt, MLM); require task-specific ML artifacts/compute",,scoring bound to training-environment execution
SpreadsheetBench,tabular,49b73a94775fb489063f60ca1865e3a650079a79,1,5,True,pass-as-documented,0.2,,,True,False,True,"schema-valid synthetic dataset.json + answer/input .xlsx pairs (2 tasks, match+mismatch)",Official evaluation/evaluation.py (openpyxl cell-range comparison) ran on synthetic dataset tree matching exact expected layout,,Correctly scored t1 match (soft/hard 1.0) and t2 mismatch (0.0); comparison core verified discriminating
TabFact,tabular,2ab782ba42b5808076ac91fec846473aa5315a79,0,4,True,dependency-or-environment-failure,,,,False,False,False,n/a,"No eval-named scorer at maxdepth 3; scoring embedded in code/run_BERT.py (model training/eval loop, torch); no standalone prediction scorer",,scoring coupled to BERT model run
TableBench,tabular,6c61a20340409dea8f96edb8675e66bb4abd7b28,1,5,True,credential-or-service-blocked,4.35,pass-after-minimal-repair,17.54,False,True,True,official shipped example (o3-mini DP example jsonl),eval_tablebench_script.py imported+ran 4.35s but evaluate.load('rouge') fetches ROUGE module from HF Hub; huggingface.co allowlist-blocked (403),Granted network access to huggingface.co (service config; no code edit); evaluator ran on shipped official example predictions,FactChecking 83.33 / NumericalReasoning 87.5 / DataAnalysis 26.05 / Visualization 33.33 / Overall 58.3
WikiTableQuestions,tabular,7d455a5a707b96341ef72aff9428749d443d8aa9,0,4,True,dependency-or-environment-failure,0.02,,,False,False,False,n/a (failed at parse),"Official evaluator.py is Python 2 (ur""..."" prefix, print>>); SyntaxError line 64 under Python 3",,Python-2-only evaluator; a 2to3 translation would be a non-minimal code rewrite
BIRD,text2sql,483554eae102996f5ec1f4feab4e78ef29c2a394,0,0,False,missing-required-data,,,,False,False,False,n/a,Monorepo (DAMO-ConvAI); BIRD evaluation requires SQLite databases (separate large download) for execution accuracy; no DB in clone,,execution-based SQL eval needs external DB download
BIRD-CRITIC / SQL-eval,text2sql,b83332416ea2d424b0cd12994a0a9ba100f4b4af,0,4,True,credential-or-service-blocked,,,,False,False,False,n/a,eval/eval.py imports utils.creds.db_creds_all + sqlalchemy create_engine; requires live SQL service credentials,,live database service + credentials required
Dr.Spider,text2sql,c64694a4a278ab0faff08ce7a3501d46f458b431,0,3,False,missing-required-data,,,,False,False,False,n/a,Preprocessing scripts present (data_preprocess.py) but no standalone prediction-scoring evaluator at maxdepth 3; perturbation eval reuses Spider execution (needs DBs),,depends on Spider execution evaluator + DBs
Spider,text2sql,b7b5b8c890cd30e35427348bb9eb8c6d1350ca7c,0,3,True,missing-required-data,2.98,,,False,False,False,official shipped gold/pred examples (no DB),evaluation.py --etype match still reads get_schema(db) per row (line 505); official SQLite DBs not shipped (separate download). ships gold/pred examples + tables.json but not DBs,,exact-match mode does not gate DB path; DB is a large external artifact not in clone
Spider 2.0,text2sql,01a4c67c1e3f6ab9032716b050a927abbb245f65,1,5,True,credential-or-service-blocked,,,,False,False,False,n/a,evaluation_suite/evaluate.py imports get_bigquery_sql_result + duckdb_match; requires BigQuery service credentials + live DB,,external cloud DB service (BigQuery); not CPU-offline-testable
