benchmark,category,arxiv_id,frozen_commit,A0_described,A1_accessible,R2_reconstructable,n_ok_of_5,attempted_execution,first_pass_label,E3_first_pass,E3_after_repair,E3_smoke_testable,evaluator,dataset,sample_predictions,env_file,container,license,analysis_set
MLAgentBench,ml-eng,2310.03302,5d71205cc20a8e95d43aa7cb7120e89ca3323e31,True,True,1,5,True,credential-or-service-blocked,False,False,False,1,1,1,1,1,1,primary-frozen
MLE-bench,ml-eng,2410.07095,507f92e1138bb6e40dac5c6ee7a6758e6424bf97,True,True,1,5,True,dependency-or-environment-failure,False,False,False,1,1,1,1,0,1,primary-frozen
MLGym,ml-eng,2502.14499,9d40c1b5035202018cd7091fb4e83a9c68b377c0,True,True,0,4,True,dependency-or-environment-failure,False,False,False,1,1,1,1,1,1,primary-frozen
RE-Bench,ml-eng,2411.15114,93b98062e55f6945d4a7e213a3226dd419896170,True,True,0,4,True,dependency-or-environment-failure,False,False,False,1,1,0,1,1,1,primary-frozen
SpreadsheetBench,tabular,2406.14991,49b73a94775fb489063f60ca1865e3a650079a79,True,True,1,5,True,pass-as-documented,True,False,True,1,1,1,1,0,0,primary-frozen
TabFact,tabular,1909.02164,2ab782ba42b5808076ac91fec846473aa5315a79,True,True,0,4,True,dependency-or-environment-failure,False,False,False,1,1,0,0,0,1,primary-frozen
TableBench,tabular,2408.09174,6c61a20340409dea8f96edb8675e66bb4abd7b28,True,True,1,5,True,credential-or-service-blocked,False,True,True,1,1,0,1,0,0,primary-frozen
WikiTableQuestions,tabular,1508.00305,7d455a5a707b96341ef72aff9428749d443d8aa9,True,True,1,5,True,dependency-or-environment-failure,False,False,False,1,1,0,0,0,1,primary-frozen
BIRD,text2sql,2305.03111,483554eae102996f5ec1f4feab4e78ef29c2a394,True,True,0,0,False,missing-required-data,False,False,False,1,1,1,1,1,1,primary-frozen
BIRD-CRITIC / SQL-eval,text2sql,,b83332416ea2d424b0cd12994a0a9ba100f4b4af,True,True,0,4,True,credential-or-service-blocked,False,False,False,1,1,0,1,0,1,primary-frozen
Dr.Spider,text2sql,2301.08881,c64694a4a278ab0faff08ce7a3501d46f458b431,True,True,0,3,False,missing-required-data,False,False,False,1,1,0,0,0,1,primary-frozen
Spider,text2sql,1809.08887,b7b5b8c890cd30e35427348bb9eb8c6d1350ca7c,True,True,0,3,True,missing-required-data,False,False,False,1,1,1,1,0,1,primary-frozen
Spider 2.0,text2sql,2411.07763,01a4c67c1e3f6ab9032716b050a927abbb245f65,True,True,1,5,True,credential-or-service-blocked,False,False,False,1,1,1,1,1,1,primary-frozen
MMTU,tabular,2506.05587,82429014a3153c10bc9a94260cf0a7f52b449611,True,True,1,5,True,pass-as-documented,True,False,True,1,1,0,1,1,0,post-freeze-extension
Tapilot-Crossing,e2e-agent,2403.05307,e5827bd6c9cbd25e121b092362920730ef35733f,True,True,1,5,True,pass-as-documented,True,False,True,1,1,1,1,0,1,post-freeze-extension
ScienceBenchmark,text2sql,2306.04743,82fca50f7dbe92079e2441b43c1a63459188ec7a,True,True,0,2,False,missing-evaluator,False,False,False,0,1,0,0,0,0,post-freeze-extension
DataBench,tabular,,65f92cfad4f986f5496170f6bbcee48323f56c2f,True,True,1,5,True,pass-as-documented,True,False,True,1,1,1,1,0,1,post-freeze-extension
