repro_claim,repro_quote,availability_claim,availability_quote,one_command_eval,benchmark,parse_ok,A1_accessible,E3_first_pass,E3_smoke_testable,sample_predictions,container,claims_runnable_eval,concordance,first_pass_label,R2_reconstructable,concordance_neutral
explicit,python -m evaluation.harness.run_evaluation --benchmark_path benchmark --pred_program_path pred_programs --log_fname self_debug_eval.jsonl --run_id 1,code+data+eval,Code and data for the paper,True,ScienceAgentBench,True,True,True,True,0,0,True,claim-supported,pass-as-documented,1,ran-as-framed
implicit,invoking the customized evaluation function after completion,code+data+eval,"We released our environment and dataset, website and arxiv paper",True,Spider2-V,True,True,False,False,1,0,True,claim-not-supported,not-applicable,0,framed-runnable-but-gated
implicit,"For evaluation on data analysis task, refer to ./data_analysis/readme.md",code_only,This repo provides the source code of our paper,False,DSBench,True,True,True,True,0,0,False,exceeds-claim,pass-as-documented,0,ran-despite-modest-framing
implicit,"To run evaluation:
python -m MLAgentBench.eval --log-folder <log_folder>  --task <task_name> --output-file <output_name>",code+eval,"The MLAgentBench package can be installed with
pip install -e .",True,MLAgentBench,True,True,False,False,1,1,True,claim-not-supported,credential-or-service-blocked,1,framed-runnable-but-gated
implicit,"To produce the scores for the leaderboard, please organize your grading reports in the runs/ folder",code+eval,"We have released the code used to construct the dataset, the evaluation logic, as well as the agents we evaluated for this benchmark.",True,MLE-bench,True,True,False,False,1,0,True,claim-not-supported,dependency-or-environment-failure,1,framed-runnable-but-gated
implicit,python run.py --container_type docker --task_config_path tasks/battleOfSexes.yaml --model litellm:claude-3-5-sonnet-20240620,code+eval,docker pull aigym/mlgym-agent:latest,True,MLGym,True,True,False,False,1,1,True,claim-not-supported,dependency-or-environment-failure,0,framed-runnable-but-gated
explicit,See the setup guide for getting started running this task suite with Vivaria and our open source agent scaffolding.,code_only,All the tasks in this repo conform to the METR Task Standard.,False,RE-Bench,True,True,False,False,0,1,True,claim-not-supported,dependency-or-environment-failure,0,framed-runnable-but-gated
implicit,"The evaluation process (after model inference) can now be performed on Linux, Windows, and MacOS.",code+data+eval,We released the code for model inference and evaluation.,False,SpreadsheetBench,True,True,True,True,1,0,False,exceeds-claim,pass-as-documented,1,ran-despite-modest-framing
explicit,the model can reproduce the exact number reported in the paper,code+data+eval,python model.py --do_test --resume,True,TabFact,True,True,False,False,0,0,True,claim-not-supported,dependency-or-environment-failure,0,framed-runnable-but-gated
implicit,"After parsing the predictions, use our evaluation script to assess your model's performance.",code+data+eval,Download the latest version of TableBench from Hugging Face and place it in your working directory.,False,TableBench,True,True,False,True,0,0,False,exceeds-claim,credential-or-service-blocked,1,ran-despite-modest-framing
implicit,evaluator.py is the official evaluator.,code+data+eval,"The data/ directory contains the questions, answers, and the ID of the tables",True,WikiTableQuestions,True,True,False,False,0,0,True,claim-not-supported,dependency-or-environment-failure,1,framed-runnable-but-gated
none,,code_only,We will keep adding papers and improving the list.,False,BIRD,True,True,False,False,1,1,False,no-claim-no-run,missing-required-data,0,no-runnable-framing-and-did-not-run
implicit,Our testing procedure comprises the following steps.,code+data+eval,This repository contains the code that Defog uses for the evaluation of generated SQL.,False,BIRD-CRITIC / SQL-eval,True,True,False,False,0,0,False,no-claim-no-run,credential-or-service-blocked,0,no-runnable-framing-and-did-not-run
implicit,Run copy_pre_perturbation_predictions.py to generate copy the SQL prediction in Spider-dev to all pre-perturbation sets.,code+data+eval,Evalaute the model on each pre-perturbation and post-perturbation set using the test-suite evaluation.,False,Dr.Spider,True,True,False,False,0,0,False,no-claim-no-run,missing-required-data,0,no-runnable-framing-and-did-not-run
implicit,"This repo contains all code for evaluation, preprocessing, and all baselines used in our paper.",code+data+eval,"This repo contains all code for evaluation, preprocessing, and all baselines used in our paper.",False,Spider,True,True,False,False,1,0,False,no-claim-no-run,missing-required-data,0,no-runnable-framing-and-did-not-run
implicit,spider-agent-lite and spider-agent-snow to work with spider2-lite and spider2-snow,code+data+eval,"GitHub links to spider2-snow.jsonl, spider-agent-tc, spider2-dbt, gold-tables, evaluation_suite",False,Spider 2.0,True,True,False,False,1,1,False,no-claim-no-run,credential-or-service-blocked,1,no-runnable-framing-and-did-not-run
