benchmark,criterion,coder_A,coder_B,adjudicated,pointer,rationale
DS-1000,Predictions->aggregate-score mapping,partially-documented,documented-and-verifiable,documented-and-verifiable,README.md Usage + test_ds1000.py; code_context test_execution/test_string,"README documents per-problem pass = test_execution AND test_string, aggregation to per-lib count/mean and overall mean, with runnable script and expected output table."
DS-1000,Sample predictions / trajectories,claimed-but-not-verifiable,documented-and-verifiable,documented-and-verifiable,README.md Usage section; data/codex002-answers.jsonl,"README ships codex002-answers.jsonl sample predictions and test_ds1000.py evaluating them, with expected per-lib scores reproducible via documented commands."
PandasEval/NumpyEval (CERT),Metric definition,not-documented,claimed-but-not-verifiable,not-documented,README.md#Evaluation / eval_private.py / eval_baseline.py,Evidence shows Pass@k for HumanEval only; no definition of any metric for PandasEval/NumpyEval. Evaluator code writes samples but shows no metric computation.
PandasEval/NumpyEval (CERT),Evaluator implementation available,not-documented,claimed-but-not-verifiable,partially-documented,apicoder/CodeGenAPI/eval_private.py + get_lib_comment_for_eval.py,"Evaluator source present (eval_private.py generates, functional_correctness scores) but depends on missing eval_datas/real_*_eval_v*.jsonl.gz data files, so verification incomplete."
PandasEval/NumpyEval (CERT),Predictions->aggregate-score mapping,not-documented,claimed-but-not-verifiable,not-documented,eval_private.py / eval_baseline.py,Scripts write per-sample completions to jsonl and defer scoring to external evaluate_functional_correctness; no predictions-to-aggregate-score mapping is documented in shown evidence.
PandasEval/NumpyEval (CERT),Sample predictions / trajectories,partially-documented,not-documented,partially-documented,README.md Evaluation §3-4; apicoder/CodeGenAPI/eval_baseline.py run_human_eval,"README documents generating and saving sample programs to jsonl; evaluator code writes per-task completions, but no sample trajectory files shown for PandasEval/NumpyEval specifically."
BixBench,Input/expected-output schema,partially-documented,documented-and-verifiable,partially-documented,README.md + bixbench/graders.py,"README describes CSV/JSON outputs and answer modes; graders.py shows grade fields, but no explicit input/expected-output schema definition is shown in evidence."
BixBench,Metric definition,documented-and-verifiable,partially-documented,partially-documented,bixbench/graders.py,"MCQ exact-match and range verifiers shown fully, but LLM-verifier metrics depend on unshown grading-prompt templates and aggregation/majority-vote definitions not in evidence."
BixBench,Predictions->aggregate-score mapping,partially-documented,claimed-but-not-verifiable,partially-documented,bixbench/postprocessing.py (README) + graders.py,"README documents postprocessing.py aggregating predictions into evaluation dataframe/majority-vote scores; graders.py shows per-answer scoring, but aggregate-score computation itself is not shown at this commit."
InfiAgent-DABench,Input/expected-output schema,partially-documented,documented-and-verifiable,documented-and-verifiable,"examples/DA-Agent/eval_closed_form.py (extract_format, is_equal, evaluate_responses); pipeline/activities/eval.py (read_dicts_from_file)","Input schema (question/constraints/format/file_name/id) and expected-output format (@name[value] regex, common_answers labels) fully specified in evaluator source."
InfiAgent-DABench,Evaluator implementation available,documented-and-verifiable,partially-documented,documented-and-verifiable,examples/DA-Agent/eval_closed_form.py,"Evaluator source present at frozen commit: extract_format, is_equal, evaluate_responses, and accuracy functions fully shown, invokable via documented --responses_file_path CLI."
InfiAgent-DABench,Grading rules & tie-breaking,partially-documented,documented-and-verifiable,documented-and-verifiable,examples/DA-Agent/eval_closed_form.py + README,"Evaluator source present with concrete metrics (is_equal, accuracy functions); README documents data/questions/labels files and run commands, enabling reproduction from frozen commit."
ScienceAgentBench,Input/expected-output schema,partially-documented,documented-and-verifiable,partially-documented,compute_scores.py; README Benchmark Access,Evaluator reads input.json and output_fname but no explicit schema for these fields is documented; structure only inferable from code.
ScienceAgentBench,Metric definition,partially-documented,documented-and-verifiable,documented-and-verifiable,compute_scores.py / calculate_metrics.py,"Evaluator source defines all four metrics: success_rate (eval script), codebert_score, valid_program_rate, cost — computed and aggregated explicitly in shown code."
ScienceAgentBench,Sample predictions / trajectories,claimed-but-not-verifiable,not-documented,not-documented,README.md / compute_scores.py / calculate_metrics.py,"Logs store trajectories, but no sample predictions/trajectories are provided or referenced in repo; nothing to verify, so claim absent entirely."
Spider2-V,Metric definition,partially-documented,claimed-but-not-verifiable,partially-documented,desktop_env/evaluators/getters/dbt.py + evaluation_examples/README.md#task-format,"Getter docstrings describe per-task metric fields and task-format doc referenced, but no unified metric definition; scoring aggregation not shown."
Spider2-V,Evaluator implementation available,documented-and-verifiable,partially-documented,partially-documented,desktop_env/evaluators/getters/ + __init__.py,"Getter evaluators exist but top-level __init__.py is fully commented out; no documented eval entrypoint wiring shown, so implementation only partially evidenced."
Spider2-V,Predictions->aggregate-score mapping,partially-documented,not-documented,not-documented,README.md Quick Start / evaluators source,"Evidence shows getters returning values and env.evaluate() printing a score, but no documentation of how predictions map to aggregate scores."
MLAgentBench,Metric definition,partially-documented,documented-and-verifiable,partially-documented,README.md #Results / MLAgentBench/benchmarks/CLRS/env/evaluation.py,"README defines Success Rate (>10% improvement) and Average Improvement verbally; per-task metric code shown only for CLRS, not the primary reported metrics' computation."
MLAgentBench,Evaluator implementation available,partially-documented,documented-and-verifiable,partially-documented,README.md Evaluation section; MLAgentBench/benchmarks/CLRS/env/evaluation.py,"README documents eval command and per-task script/eval.py, but only CLRS evaluation source is shown (truncated); the general MLAgentBench.eval module and other tasks' evaluators are not present in evidence."
MLAgentBench,Grading rules & tie-breaking,partially-documented,not-documented,partially-documented,README.md Setup/Quick Start/Evaluation/Workflow,"README gives install, task prep, run, and eval commands, but plot.py needs manual path/name TODO fixes and no exact numeric reproduction is specified."
MLAgentBench,Predictions->aggregate-score mapping,partially-documented,documented-and-verifiable,partially-documented,MLAgentBench/benchmarks/CLRS/env/evaluation.py evaluate(),"CLRS evaluate() shows per-output-to-mean 'score' aggregation, but README's benchmark-level Success Rate/Improvement metrics have no shown source defining predictions-to-aggregate-score mapping."
MLE-bench,Input/expected-output schema,partially-documented,documented-and-verifiable,partially-documented,mlebench/competitions/*/grade.py prepare_for_metric,"Per-competition grade.py enforces input schema (columns, ids) but README shows no unified submission-format spec; schema documented only for shown competitions, not benchmark-wide."
MLE-bench,Sample predictions / trajectories,claimed-but-not-verifiable,not-documented,not-documented,README.md / grade.py files,"Evidence documents grading reports and metric logic only; nothing claims or provides sample predictions or agent trajectories, so nothing is even asserted."
RE-Bench,Input/expected-output schema,partially-documented,documented-and-verifiable,partially-documented,"assets/score.py (fix_embedding, triton_cumsum, restricted_mlm)","Scorers reveal I/O schemas for three tasks, but the other four families' schemas are not shown in this evidence."
RE-Bench,Grading rules & tie-breaking,partially-documented,not-documented,partially-documented,README.md; assets/score.py files,"README documents scoring metrics, starting/official scores per task; scorers shown. But solutions are password-protected and datasets/model checkpoints not shown, so full verification incomplete."
RE-Bench,Predictions->aggregate-score mapping,not-documented,partially-documented,partially-documented,"score.py files (fix_embedding, triton_cumsum, restricted_mlm)","Score formulas visible in code (log(loss-1.5), log(time), correctness gating), but README omits aggregate-score mapping; several task scorers not shown."
SpreadsheetBench,Metric definition,partially-documented,documented-and-verifiable,documented-and-verifiable,evaluation/evaluation.py (compare_cell_value/transform_value/cell_level_compare) + README Evaluation/Overview,"OJ-style metric fully specified in source: exact-match per answer_position cell range, rounding rules, all-test-cases-pass; README describes it and code implements it verifiably."
SpreadsheetBench,Grading rules & tie-breaking,partially-documented,not-documented,partially-documented,README.md Evaluation / evaluation/evaluation.py,"README documents setup, inference, recalculation, and evaluation scripts; evaluation.py present. But README is truncated mid-command and metric/threshold details not fully shown, so verification incomplete."
SpreadsheetBench,Predictions->aggregate-score mapping,not-documented,partially-documented,partially-documented,README.md Evaluation / evaluation.py compare_workbooks,"Evaluator shows per-testcase pass/fail via all(result_list), but README/source never document aggregating per-instruction results into a benchmark-wide score."
SpreadsheetBench,Sample predictions / trajectories,claimed-but-not-verifiable,not-documented,not-documented,README.md / evaluation/,"README documents inference outputs saved to folders but shows no released sample predictions or trajectories; evidence contains only evaluator source, no shipped example outputs."
TableBench,Metric definition,partially-documented,documented-and-verifiable,documented-and-verifiable,README.md §Evaluation Metrics; eval_tablebench_script.py docstring,"Metrics per sub-task explicitly defined in README table and mirrored in evaluator source docstring; evaluation scripts present, making definitions traceable to code."
TableBench,Grading rules & tie-breaking,partially-documented,not-documented,partially-documented,README.md §📐 Evaluation Metrics / §🔧 How to evaluate; eval_tablebench_script.py,"Metrics per task type, four-step pipeline, and scripts documented, but evaluator source is truncated mid-function and core metric implementations (qa_metrics.py) not shown."
TableBench,Predictions->aggregate-score mapping,partially-documented,documented-and-verifiable,partially-documented,eval_tablebench_script.py: eval_by_subtype / eval_by_type,"Per-subtype metrics documented, but aggregation into type-level and overall scores is truncated; eval_by_type body and averaging logic not shown."
Spider 2.0,Input/expected-output schema,partially-documented,documented-and-verifiable,partially-documented,spider2-dbt/evaluation_suite/eval_utils.py; README Data section,"Output matchers (string/number/table/duckdb) and answer_type schema shown, but input jsonl field schema and gold format not fully specified in shown evidence."
Spider 2.0,Evaluator implementation available,partially-documented,documented-and-verifiable,documented-and-verifiable,spider2-dbt/evaluation_suite/evaluate.py + eval_utils.py,"Full evaluator source present at frozen commit: runnable evaluate.py with CLI args and concrete match functions (string_match, number_match, table_match, duckdb_match) implemented in eval_utils.py."
